Name,Description,Recommended Setting,Complexity,SMB Justification (if not using recommended)
CISv4 - WIN - L2 - Configuration of wireless settings using  Windows Connect Now,This policy setting allows the configuration of wireless settings using Windows Connect Now (WCN). The WCN Registrar enables the discovery and configuration of devices over Ethernet (UPnP) over in-band 802.11 Wi-Fi through the Windows Portable Device API (WPD) and via USB Flash drives. Additional options are available to allow discovery and configuration over a specific medium. The recommended state for this setting is: Disabled.,Disabled,Moderate,Windows Connect Now / WCN wizards can expose Wi-Fi credentials to unauthorised users. Disabling is low-risk for managed SMB environments using centrally provisioned wireless.
CISv4 - WIN - L2 - Configure Watson events,This policy setting allows you to configure whether or not Watson events are sent. The recommended state for this setting is: Disabled.,Disabled,Moderate,Microsoft diagnostic/telemetry features may expose crash data to Microsoft. Disabling is appropriate for SMBs with data privacy obligations. Communicate to users that automatic problem reporting will be turned off.
CISv4 - WIN - L2 - Devices: Prevent users from installing printer  drivers when connecting to shared printers,"For a computer to print to a shared printer, the driver for that shared printer must be installed on the local computer. This security setting determines who is allowed to install a printer driver as part of connecting to a shared printer. The recommended state for this setting is: Enable.",Enable,Moderate,Preventing standard users from installing printer drivers reduces the risk of malicious driver installation. SMBs with shared printers should pre-stage approved drivers via Intune/Group Policy; only deviate if users roam frequently.
CISv4 - WIN - L2 - Disable Advertising ID,"This policy setting turns off the advertising ID, preventing apps from using the ID for experiences across apps. The recommended state for this setting is: Enabled.",Enabled,Simple,Disabling the Advertising ID is a privacy control with no business functionality impact. Apply the recommended state; no valid operational reason to skip.
CISv4 - WIN - L2 - Disable Enterprise Auth Proxy,This policy setting controls whether the Connected User Experience and Telemetry service can automatically use an authenticated proxy to send data back to Microsoft. The recommended state for this setting is: Enable.,Enable,Moderate,"Disabling Enterprise Auth Proxy prevents automatic proxy authentication, which is low-risk in SMB environments without on-premises proxy infrastructure."
CISv4 - WIN - L2 - Disable One Drive File Sync,This policy setting lets you prevent apps and features from working with files on OneDrive using the Next Generation Sync Client. The recommended state for this setting is: Sync Disabled.,Sync Disabled,Moderate,OneDrive sync is widely used in SMB/M365 environments. Disabling file sync may disrupt business workflows relying on OneDrive for document collaboration. Evaluate against your data governance policy; consider blocking personal OneDrive instead of business sync.
CISv4 - WIN - L2 - Disable Store Originated Apps,This setting configures the launch of all apps from the Microsoft Store that came pre installed or were downloaded. The recommended state for this setting is: Enabled.,Enabled,Moderate,Restricting the Microsoft Store prevents users installing unvetted apps. Appropriate for managed SMB environments. Only allow if specific Store apps are part of approved tooling.
CISv4 - WIN - L2 - Disallow Cloud Notification,"This policy setting blocks applications from using the network to send notifications to update tiles, tile badges, toast, or raw notifications. This policy setting turns off the connection between Windows and the Windows Push Notification Service (WNS). This policy setting also stops applications from being able to poll application services to update tiles. The recommended state for this setting is: Allow.",Allow,Simple,"'disallow cloud notification' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L2 - Disallow KMS Client Online AVS Validation,"The Key Management Service (KMS) is a Microsoft license activation method that entails setting up a local server to store the software licenses. The KMS server itself needs to connect to Microsoft to activate the KMS service, but subsequent on-network clients can activate Microsoft Windows OS and/or their Microsoft Office via the KMS server instead of connecting directly to Microsoft. This policy setting lets you opt-out of sending KMS client activation data to Microsoft automatically. The recommended state for this setting is: Allow.",Allow,Moderate,KMS online AVS validation contacts Microsoft activation servers. Disabling is appropriate in air-gapped or privacy-sensitive environments but may affect licensing compliance reporting.
CISv4 - WIN - L2 - Disallow copying of user input methods to  the system account for sign-in,This policy prevents automatic copying of user input methods to the system account for use on the sign-in screen. The user is restricted to the set of input methods that are enabled in the system account. The recommended state for this setting is: Enabled,Enabled,Simple,Preventing user input methods from being copied to the system account is a low-risk privacy/security control. No operational impact expected in managed SMB environments.
CISv4 - WIN - L2 - Do not allow COM port redirection,This policy setting specifies whether to prevent the redirection of data to client COM ports from the remote computer in a Remote Desktop Services session. The recommended state for this setting is: Enabled.,Enabled,Simple,"'do not allow com port redirection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L2 - Do not allow LPT port redirection,This policy setting specifies whether to prevent the redirection of data to client LPT ports during a Remote Desktop Services session. The recommended state for this setting is: Enabled,Enabled,Simple,"'do not allow lpt port redirection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L2 - Do not allow supported Plug and Play  device redirection,"This policy setting allows you to control the redirection of supported Plug and Play devices, such as Windows Portable Devices, to the remote computer in a Remote Desktop Services session. The recommended state for this setting is: Enabled.",Enabled,Moderate,'do not allow supported plug and play  device redirection' has moderate implementation risk. Validate against existing tooling and workflows; pilot on a test group before broad rollout.
CISv4 - WIN - L2 - Enable Convert Warn To Block,"This policy setting controls whether Microsoft Defender Antivirus network protection will display a warning, or block network traffic. The recommended state for this setting is: Warn verdicts are converted to block.",Warn verdicts are converted to block,Simple,Defender SmartScreen / file hash settings enhance malware detection with minimal performance impact. Apply the recommended state; only deviate if a third-party AV/EDR provides equivalent controls.
CISv4 - WIN - L2 - Enable File Hash Computation,This setting determines whether hash values are computed for files scanned by Microsoft Defender. The recommended state for this setting is: Enable.,Enable,Simple,Defender SmartScreen / file hash settings enhance malware detection with minimal performance impact. Apply the recommended state; only deviate if a third-party AV/EDR provides equivalent controls.
CISv4 - WIN - L2 - Join Microsoft MAPS,"This policy setting allows you to join Microsoft Active Protection Service (MAPS), which Microsoft renamed to Windows Defender Antivirus Cloud Protection Service and then Microsoft Defender Antivirus Cloud Protection Service. Microsoft MAPS / Microsoft Defender Antivirus Cloud Protection Service is the online community that helps you choose how to respond to potential threats. The community also helps stop the spread of new malicious software infections. You can choose to send basic or additional information about detected software. Additional information helps Microsoft create new definitions and help it to protect your computer. The recommended state for this setting is: Disabled.",Disabled,Simple,Microsoft MAPS (cloud-based Defender telemetry) improves threat intelligence. Enable if Defender is the primary AV. Disable if a third-party AV is in place and Defender is passive.
CISv4 - WIN - L2 - Log On As Batch Job,The recommended state for this setting is: *S-1-5-32-544 (Administrators).,*S-1-5-32-544 (Administrators),Simple,Batch logon rights should be scoped to specific service accounts only. Overly broad assignment enables scheduled-task abuse. Audit who holds this right and scope tightly.
CISv4 - WIN - L2 - MSS: (DisableSavePassword) Prevent the dial up password from being saved (recommended),"When you dial a phonebook or VPN entry in Dial-Up Networking, you can use the ""Save Password"" option so that your Dial-Up Networking password is cached and you will not need to enter it on successive dial attempts. For security, administrators may want to prevent users from caching password The recommended state for this setting is: Enabled.",Enabled,Complex,Dial-up password saving is a legacy concern. Modern SMBs do not use dial-up; apply the recommended state. Deviation is not justified in cloud-managed environments.
CISv4 - WIN - L2 - MSS: (KeepAliveTime) How often keep-alive  packets are sent in milliseconds,"This value controls how often TCP attempts to verify that an idle connection is still intact by sending a keep-alive packet. If the remote computer is still reachable, it acknowledges the keep-alive packet. The recommended state for this setting is: Enabled: 300,000 or 5 minutes (recommended).","Enabled: 300,000 or 5 minutes (recommended)",Complex,TCP keep-alive tuning is a low-risk network hardening measure. Only deviate if specific applications rely on non-standard keep-alive intervals.
CISv4 - WIN - L2 - MSS: (PerformRouterDiscovery) Allow IRDP to  detect and configure Default Gateway addresses (could lead to  DoS),"This setting is used to enable or disable the Internet Router Discovery Protocol (IRDP), which allows the system to detect and configure default gateway addresses automatically as described in RFC 1256 on a per-interface basis. The recommended state for this setting is: Disabled.",Disabled,Complex,IRDP router discovery can expose endpoints to rogue gateway attacks. Disabling is low-risk for SMBs; only enable if IRDP is explicitly required by a network device.
CISv4 - WIN - L2 - MSS: (TcpMaxDataRetransmissions IPv6)  How many times unacknowledged data is retransmitted,This setting controls the number of times that TCP retransmits an individual data segment (non-connect segment) before the connection is aborted. The retransmission time-out is doubled with each successive retransmission on a connection. It is reset when responses resume. The base time-out value is dynamically determined by the measured round-trip time on the connection. The recommended state for this setting is: Enabled: 3.,Enabled: 3,Complex,Limiting TCP retransmissions reduces exposure to slow-loris-style DoS. Test on latency-sensitive links before broad deployment; 3 retransmissions is the CIS-recommended value.
CISv4 - WIN - L2 - MSS: (TcpMaxDataRetransmissions) How  many times unacknowledged data is retransmitted,This setting controls the number of times that TCP retransmits an individual data segment (non-connect segment) before the connection is aborted. The retransmission time-out is doubled with each successive retransmission on a connection. It is reset when responses resume. The base time-out value is dynamically determined by the measured round-trip time on the connection. The recommended state for this setting is: Enabled: 3,Enabled: 3,Complex,Limiting TCP retransmissions reduces exposure to slow-loris-style DoS. Test on latency-sensitive links before broad deployment; 3 retransmissions is the CIS-recommended value.
CISv4 - WIN - L2 - Microsoft Support Diagnostic Tool: Turn  on MSDT interactive communication with support provider,This policy setting configures Microsoft Support Diagnostic Tool (MSDT) interactive communication with the support provider. MSDT gathers diagnostic data for analysis by support professionals. The recommended state for this setting is: Disabled.,Disabled,Moderate,Microsoft diagnostic/telemetry features may expose crash data to Microsoft. Disabling is appropriate for SMBs with data privacy obligations. Communicate to users that automatic problem reporting will be turned off.
CISv4 - WIN - L2 - Prevent Codec Download (User),This setting controls whether Windows Media Player is allowed to download additional codecs for decoding media files it does not already understand. The recommended state for this setting is: Enabled.,Enabled,Simple,"'prevent codec download (user)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L2 - Prevent Internet Explorer security prompt  for Windows Installer scripts,This policy setting controls whether Web-based programs are allowed to install software on the computer without notifying the user. The recommended state for this setting is: Disabled.,Disabled,Simple,"'prevent internet explorer security prompt  for windows installer scripts' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L2 - Prohibit access of the Windows Connect  Now wizards,This policy setting prohibits access to Windows Connect Now (WCN) wizards. The recommended state for this setting is: Enabled.,Enabled,Simple,"'prohibit access of the windows connect  now wizards' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L2 - Remote Encryption Protection  Aggressiveness,"This policy setting configures how aggressively Remote Encryption Prevention Protection blocks malicious IP addresses. The recommended state for this setting is: Medium: Use cloud aggregation and block when confidence level is above 99% or higher. Configuring this setting to High: Use cloud intel and context, and block when confidence level is above 90% also conforms to the benchmark.",Medium: Use cloud aggregation and block when confidence level is above 99% or higher,Simple,Remote Encryption Protection detects ransomware encrypting files over network shares. Enable with the most aggressive setting where possible; test on a pilot group first to confirm no false positives.
CISv4 - WIN - L2 - Restrict clipboard transfer from server  to client,This policy setting controls whether the clipboard can be used to transfer data from the Remote Desktop session to the client. The recommended state for this setting is: Enabled: Disable clipboard transfers from server to client.,Enabled: Disable clipboard transfers from server to client,Simple,Clipboard redirection is commonly needed in RDS/remote work scenarios. Blocking may frustrate users who copy/paste between local and remote sessions. Evaluate whether dedicated VDI/RDS use justifies the risk.
CISv4 - WIN - L2 - Set time limit for active but idle  Remote Desktop Services sessions,"This policy setting allows you to specify the maximum amount of time that an active Remote Desktop Services session can be idle (without user input) before it is automatically disconnected. The recommended state for this setting is: Enabled: 15 minutes or less, but not Never (0).","Enabled: 15 minutes or less, but not Never (0)",Moderate,RDP session time limits prevent abandoned sessions from accumulating. Tune to match business workflows; overly short limits may disrupt long-running tasks.
CISv4 - WIN - L2 - Set time limit for disconnected  sessions,This policy setting allows you to configure a time limit for disconnected Remote Desktop Services sessions. The recommended state for this setting is: Enabled: 1 minute.,Enabled: 1 minute,Simple,"'set time limit for disconnected  sessions' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L2 - Support device authentication using  certificate,This policy setting allows you to set support for Kerberos to attempt authentication using the certificate for the device to the domain. Support for device authentication using certificate will require connectivity to a DC in the device account domain which supports certificate authentication for computer accounts. The recommended state for this setting is: Enabled: Automatic.,Enabled: Automatic,Simple,Certificate-based device authentication strengthens Kerberos and is recommended for Azure AD / Hybrid environments. Ensure PKI or SCEP/NDES is in place before enabling; misconfiguration can break authentication.
CISv4 - WIN - L2 - Turn off Help Experience Improvement  Program (User),This policy setting specifies whether users can participate in the Help Experience Improvement program. The Help Experience Improvement program collects information about how customers use Windows Help so that Microsoft can improve it. The recommended state for this setting is: Enabled.,Enabled,Simple,Search Companion and Help Experience Improvement programs are consumer telemetry features. Disabling is low-risk and appropriate for managed business environments.
CISv4 - WIN - L2 - Turn off Internet Connection Wizard if  URL connection is referring to Microsoft.com,This policy setting specifies whether the Internet Connection Wizard can connect to Microsoft to download a list of Internet Service Providers (ISPs). The recommended state for this setting is: Enabled.,Enabled,Simple,"Consumer Windows features (Order Prints, Publish to Web, ICW registration) are not relevant to business SMBs. Disabling is safe and reduces telemetry with no business impact."
CISv4 - WIN - L2 - Turn off Push To Install service,This policy setting controls whether users can push Apps to the device from the Microsoft Store App running on other devices or the web. The recommended state for this setting is: Enabled.,Enabled,Simple,Restricting the Microsoft Store prevents users installing unvetted apps. Appropriate for managed SMB environments. Only allow if specific Store apps are part of approved tooling.
CISv4 - WIN - L2 - Turn off Registration if URL connection is  referring to Microsoft.com',This policy setting specifies whether the Windows Registration Wizard connects to Microsoft.com for online registration. The recommended state for this setting is: Enabled.,Enabled,Simple,"Consumer Windows features (Order Prints, Publish to Web, ICW registration) are not relevant to business SMBs. Disabling is safe and reduces telemetry with no business impact."
CISv4 - WIN - L2 - Turn off Search Companion content file  updates,This policy setting specifies whether Search Companion should automatically download content updates during local and Internet searches. The recommended state for this setting is: Enabled.,Enabled,Simple,Search Companion and Help Experience Improvement programs are consumer telemetry features. Disabling is low-risk and appropriate for managed business environments.
CISv4 - WIN - L2 - Turn off Windows Customer Experience  Improvement Program,"This policy setting specifies whether Windows Messenger can collect anonymous information about how the Windows Messenger software and service is used. Microsoft uses information collected through the Windows Customer Experience Improvement Program to detect software flaws so that they can be corrected more quickly, enabling this setting will reduce the amount of data Microsoft is able to gather for this purpose. The recommended state for this setting is: Enabled.",Enabled,Simple,Microsoft diagnostic/telemetry features may expose crash data to Microsoft. Disabling is appropriate for SMBs with data privacy obligations. Communicate to users that automatic problem reporting will be turned off.
CISv4 - WIN - L2 - Turn off Windows Error Reporting,This policy setting controls whether or not errors are reported to Microsoft. Error Reporting is used to report information about a system or application that has failed or has stopped responding and is used to improve the quality of the product. The recommended state for this setting is: Enabled.,Enabled,Simple,Microsoft diagnostic/telemetry features may expose crash data to Microsoft. Disabling is appropriate for SMBs with data privacy obligations. Communicate to users that automatic problem reporting will be turned off.
CISv4 - WIN - L2 - Turn off access to the Store,"This policy setting specifies whether to use the Store service for finding an application to open a file with an unhandled file type or protocol association. When a user opens a file type or protocol that is not associated with any applications on the computer, the user is given the choice to select a local application or use the Store service to find an application. The recommended state for this setting is: Enabled",Enabled,Moderate,Restricting the Microsoft Store prevents users installing unvetted apps. Appropriate for managed SMB environments. Only allow if specific Store apps are part of approved tooling.
CISv4 - WIN - L2 - Turn off printing over HTTP,"This policy setting allows you to disable the client computer's ability to print over HTTP, which allows the computer to print to printers on the intranet as well as the Internet. The recommended state for this setting is: Enabled",Enabled,Moderate,Printing over HTTP is a legacy protocol and a potential data interception risk. Disabling is safe for all managed SMB environments; modern printers use IPP/HTTPS or direct queues.
"CISv4 - WIN - L2 - Turn off the ""Order Prints"" picture task","This policy setting specifies whether the ""Order Prints Online"" task is available from Picture Tasks in Windows folders.The Order Prints Online Wizard is used to download a list of providers and allow users to order prints online. The recommended state for this setting is: Enabled.",Enabled,Moderate,"Consumer Windows features (Order Prints, Publish to Web, ICW registration) are not relevant to business SMBs. Disabling is safe and reduces telemetry with no business impact."
"CISv4 - WIN - L2 - Turn off the ""Publish to Web","This policy setting specifies whether the tasks Publish this file to the Web, Publish this folder to the Web, and Publish the selected items to the Web are available from File and Folder Tasks in Windows folders. The Web Publishing wizard is used to download a list of providers and allow users to publish content to the Web. The recommended state for this setting is: Enabled",Enabled,Simple,"Consumer Windows features (Order Prints, Publish to Web, ICW registration) are not relevant to business SMBs. Disabling is safe and reduces telemetry with no business impact."
CISv4 - WIN - L2 - Turn off the Store application,This setting denies or allows access to the Store application. The recommended state for this setting is: Enabled.,Enabled,Moderate,Restricting the Microsoft Store prevents users installing unvetted apps. Appropriate for managed SMB environments. Only allow if specific Store apps are part of approved tooling.
CISv4 - WIN - L2 - Turn off the Windows Messenger  Customer Experience Improvement Program,This policy setting specifies whether the Windows Customer Experience Improvement Program can collect anonymous information about how Windows is used.Microsoft uses information collected through the Windows Customer Experience Improvement Program to improve features that are most used and to detect flaws so that they can be corrected more quickly. Enabling this setting will reduce the amount of data Microsoft is able to gather for this purpose. The recommended state for this setting is: Enabled.,Enabled,Simple,Microsoft diagnostic/telemetry features may expose crash data to Microsoft. Disabling is appropriate for SMBs with data privacy obligations. Communicate to users that automatic problem reporting will be turned off.
CISv4 - WIN - L2 - Turn on Mapper I/O (LLTDIO) driver,This policy setting changes the operational behavior of the Mapper I/O network protocol driver.LLTDIO allows a computer to discover the topology of a network it's connected to. It also allows a computer to initiate Quality-of-Service requests such as bandwidth estimation and network health analysis. The recommended state for this setting is: Disabled.,Disabled,Complex,LLTD/Responder drivers enable network topology mapping (used by Windows Network Map). Disabling is appropriate for most SMBs; only enable if network discovery tools explicitly require these drivers.
CISv4 - WIN - L2 - Turn on PowerShell Script Block Logging,This policy setting enables logging of all PowerShell script input to the Applications and Services Logs\Microsoft\Windows\PowerShell\Operational Event Log channel. The recommended state for this setting is: Enabled,Enabled,Complex,Script Block Logging is critical for detecting malicious PowerShell and is a low-disruption setting. Enable on all managed endpoints. Only skip if a SIEM or EDR already captures equivalent telemetry.
CISv4 - WIN - L2 - Turn on PowerShell Transcription,This Policy setting lets you capture the input and output of Windows PowerShell commands into text-based transcripts. The recommended state for this setting is: Enabled.,Enabled,Complex,"PowerShell Transcription writes all session input/output to disk, which can generate large log files on constrained endpoints and may capture sensitive credential strings. Strongly recommended for incident response; ensure log directory is protected and rotated."
CISv4 - WIN - L2 - Turn on Responder (RSPNDR) driver,This policy setting changes the operational behavior of the Responder network protocol driver. The Responder allows a computer to participate in Link Layer Topology Discovery requests so that it can be discovered and located on the network. It also allows a computer to participate in Quality-of-Service activities such as bandwidth estimation and network health analysis. The recommended state for this setting is: Disabled.,Disabled,Complex,LLTD/Responder drivers enable network topology mapping (used by Windows Network Map). Disabling is appropriate for most SMBs; only enable if network discovery tools explicitly require these drivers.
CISv4 - WIN - L2 - Upload User Activities,This policy setting determines whether published User Activities can be uploaded to the cloud. The recommended state for this setting is: Disabled.,Disabled,Simple,Activity upload (Timeline) sends usage history to Microsoft. Disabling is a privacy control with no impact on core business workflows.
