Name,Description,Recommended Setting,Complexity,SMB Justification (if not using recommended)
CISv4 - WIN - L1 - Allow Email Scanning,"This policy setting allows you to configure e-mail scanning. When e-mail scanning is enabled, the engine will parse the mailbox and mail files, according to their specific format, in order to analyze the mail bodies and attachments. Several e-mail formats are currently supported, for example: pst (Outlook), dbx, mbx, mime (Outlook Express), binhex (Mac). The recommended state for this setting is: Allowed.",Allowed,Simple,"Defender settings should match the recommended state in most SMB environments. Only deviate if a third-party AV (e.g., Sophos, CrowdStrike) replaces Defender — confirm AV is active and managed."
CISv4 - WIN - L1 - Allow Full Scan Removable Drive Scanning,"This policy setting allows you to manage whether or not to scan for malicious software and unwanted software in the contents of removable drives, such as USB flash drives, when running a full scan. The recommended state for this setting is: Allowed.",Allowed,Simple,"Defender settings should match the recommended state in most SMB environments. Only deviate if a third-party AV (e.g., Sophos, CrowdStrike) replaces Defender — confirm AV is active and managed."
CISv4 - WIN - L1 - Allow Game DVR,This setting enables or disables the Windows Game Recording and Broadcasting features. The recommended state for this setting is: Block.,Block,Simple,"Disabling consumer features (Game DVR, Ink Workspace, Widgets) is low-risk for business SMBs and reduces attack surface. Only retain if a specific business use case depends on these features."
CISv4 - WIN - L1 - Allow Indexing Encrypted Stores Or Items,"This policy setting controls whether encrypted items are allowed to be indexed. When this setting is changed, the index is rebuilt completely. Full volume encryption (such as BitLocker Drive Encryption or a non-Microsoft solution) must be used for the location of the index to maintain security for encrypted files. The recommended state for this setting is: Block.",Block,Simple,Indexing encrypted files can expose sensitive content via the search index. Blocking is the correct default. Only enable if users actively search encrypted files and accept the security trade-off.
CISv4 - WIN - L1 - Allow Input Personalization,"This policy enables the automatic learning component of input personalization that includes speech, inking, and typing. Automatic learning enables the collection of speech and handwriting patterns, typing history, contacts, and recent calendar information. It is required for the use of Cortana. Some of this collected information may be stored on the user's OneDrive, in the case of inking and typing; some of the information will be uploaded to Microsoft to personalize speech. The recommended state for this setting is: Block.",Block,Simple,Privacy-related restrictions are low-risk for SMBs. Users may notice loss of Cortana/search features. Acceptable trade-off; communicate change to users to reduce help desk calls.
CISv4 - WIN - L1 - Allow Local Log On,"This policy setting determines which users can interactively log on to computers in your environment. Logons that are initiated by pressing the CTRL+ALT+DEL key sequence on the client computer keyboard require this user right. Users who attempt to log on through Terminal Services / Remote Desktop Services or IIS also require this user right. The recommended state for this setting is: *S-1-5-32-544, *S-1-5-32-545","*S-1-5-32-544, *S-1-5-32-545",Simple,"'allow local log on' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Allow Microsoft accounts to be optional,This policy setting lets you control whether Microsoft accounts are optional for Windows Store apps that require an account to sign in. This policy only affects Windows Store apps that support it. The recommended state for this setting is: Enabled.,Enabled,Simple,Making Microsoft accounts optional prevents users bypassing corporate credentials. Only deviate if the tenant uses Microsoft consumer accounts as the primary identity (rare in managed SMB).
CISv4 - WIN - L1 - Allow Networking,"This policy setting enables or disables networking in the Windows Sandbox. Networking is achieved by creating a virtual switch on the host, and connecting the Windows Sandbox to it via a virtual Network Interface Card (NIC). The recommended state for this setting is: Not allowed.",Not allowed,Simple,This policy controls whether networking is available during OOBE/provisioning. Required for Autopilot and cloud-join scenarios — do not disable in Intune-managed SMB environments.
CISv4 - WIN - L1 - Allow Print Spooler to accept client  connections,This policy setting controls whether the Print Spooler service will accept client connections. The recommended state for this setting is: Disabled.,Disabled,Simple,"'allow print spooler to accept client  connections' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Allow Realtime Monitoring,This policy setting configures real-time protection prompts for known malware detection. Microsoft Defender Antivirus alerts you when malware or potentially unwanted software attempts to install itself or to run on your computer. The recommended state for this setting is: Allowed.,Allowed,Simple,"Defender settings should match the recommended state in most SMB environments. Only deviate if a third-party AV (e.g., Sophos, CrowdStrike) replaces Defender — confirm AV is active and managed."
CISv4 - WIN - L1 - Allow Script Scanning,This policy setting allows script scanning to be turned on/off. Script scanning intercepts scripts then scans them before they are executed on the system. The recommended state for this setting is: Allowed.,Allowed,Simple,"Defender settings should match the recommended state in most SMB environments. Only deviate if a third-party AV (e.g., Sophos, CrowdStrike) replaces Defender — confirm AV is active and managed."
CISv4 - WIN - L1 - Allow Search To Use Location,This policy setting specifies whether search and Cortana can provide location aware search and Cortana results. The recommended state for this setting is: Block.,Block,Simple,Privacy-related restrictions are low-risk for SMBs. Users may notice loss of Cortana/search features. Acceptable trade-off; communicate change to users to reduce help desk calls.
CISv4 - WIN - L1 - Allow Spotlight Collection (User),"This policy setting removes the Spotlight collection setting in Personalization, rendering the user unable to select and subsequently download daily images from Microsoft to the system desktop. The recommended state for this setting is: 0",0,Simple,Spotlight Collection sends lock screen telemetry to Microsoft. Disabling is low-friction and appropriate for SMBs with data privacy obligations. No business functionality is lost.
CISv4 - WIN - L1 - Allow Telemetry,This policy setting determines the amount of diagnostic and usage data reported to Microsoft: The recommended state for this setting is: Basic or Security.,Basic or Security,Simple,Privacy-related restrictions are low-risk for SMBs. Users may notice loss of Cortana/search features. Acceptable trade-off; communicate change to users to reduce help desk calls.
CISv4 - WIN - L1 - Allow Windows Ink Workspace,"The recommended state for this setting is: Ink workspace is enabled (feature is turned on), but the user can't access it above the lock screen OR Access to ink workspace is disabled. The feature is turned off.","Ink workspace is enabled (feature is turned on), but the user can't access it above the lock screen OR Access to ink workspace is disabled",Simple,"Disabling consumer features (Game DVR, Ink Workspace, Widgets) is low-risk for business SMBs and reduces attack surface. Only retain if a specific business use case depends on these features."
CISv4 - WIN - L1 - Allow apps from the Microsoft app store to auto  update,This setting enables or disables the automatic download and installation of Microsoft Store app updates. The recommended state for this setting is: Allowed.,Allowed,Simple,Allowing Microsoft Store apps to auto-update is generally low-risk and reduces the patch burden on IT. Only disable if a specific Store app version must be pinned for compatibility reasons.
CISv4 - WIN - L1 - Allow scanning of all downloaded files and  attachments,This policy setting configures scanning for all downloaded files and attachments. The recommended state for this setting is: Allowed,Allowed,Simple,"Defender settings should match the recommended state in most SMB environments. Only deviate if a third-party AV (e.g., Sophos, CrowdStrike) replaces Defender — confirm AV is active and managed."
CISv4 - WIN - L1 - Allow unencrypted traffic WinRM Client,This policy setting allows you to manage whether the Windows Remote Management (WinRM) client sends and receives unencrypted messages over the network. The recommended state for this setting is: Disabled,Disabled,Moderate,"Disabling basic/unencrypted WinRM is critical — however, some RMM tools or legacy scripts may depend on it. Audit WinRM usage before enforcing; migrate to HTTPS/Kerberos-based WinRM."
CISv4 - WIN - L1 - Allow unencrypted traffic WinRM Service,This policy setting allows you to manage whether the Windows Remote Management (WinRM) service sends and receives unencrypted messages over the network. The recommended state for this setting is: Disabled.,Disabled,Moderate,"Disabling basic/unencrypted WinRM is critical — however, some RMM tools or legacy scripts may depend on it. Audit WinRM usage before enforcing; migrate to HTTPS/Kerberos-based WinRM."
CISv4 - WIN - L1 - Allow widgets,The recommended state for this setting is: Not allowed.,Not allowed,Simple,"Disabling consumer features (Game DVR, Ink Workspace, Widgets) is low-risk for business SMBs and reduces attack surface. Only retain if a specific business use case depends on these features."
CISv4 - WIN - L1 - Always prompt for password upon connection,"This policy setting specifies whether Remote Desktop Services always prompts the client computer for a password upon connection. You can use this policy setting to enforce a password prompt for users who log on to Remote Desktop Services, even if they already provided the password in the Remote Desktop Connection client. The recommended state for this setting is: Enabled.",Enabled,Simple,"'always prompt for password upon connection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Apply UAC restrictions to local accounts on  network logons,"This setting controls whether local accounts can be used for remote administration via network logon (e.g., NET USE, connecting to C$, etc.). Local accounts are at high risk for credential theft when the same account and password is configured on multiple systems. Enabling this policy significantly reduces that risk.",Enabled / On (inferred from payload),Moderate,UAC settings are low-disruption and strongly recommended. Only skip for break-glass/admin-only workstations where UAC is superseded by other controls.
CISv4 - WIN - L1 - Audit Authentication Policy Change,This subcategory reports changes in authentication policy. Events for this subcategory include: • 4706: A new trust was created to a domain. • 4707: A trust to a domain was removed. • 4713: Kerberos policy was changed. • 4716: Trusted domain information was modified. • 4717: System security access was granted to an account. • 4718: System security access was removed from an account. • 4739: Domain Policy was changed. • 4864: A namespace collision was detected. • 4865: A trusted forest information entry was added. • 4866: A trusted forest information entry was removed. • 4867: A trusted forest information entry was modified. The recommended state for this setting is to include: Success.,to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Audit Authorization Policy Change,This subcategory reports changes in authorization policy. Events for this subcategory include: • 4703: A user right was adjusted. • 4704: A user right was assigned. • 4705: A user right was removed. • 4670: Permissions on an object were changed. • 4911: Resource attributes of the object were changed. • 4913: Central Access Policy on the object was changed. The recommended state for this setting is to include: Success.,to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Audit Changes to Audit Policy,This subcategory reports changes in audit policy including SACL changes. Events for this subcategory include: • 4715: The audit policy (SACL) on an object was changed. • 4719: System audit policy was changed. • 4902: The Per-user audit policy table was created. • 4904: An attempt was made to register a security event source. • 4905: An attempt was made to unregister a security event source. • 4906: The CrashOnAuditFail value has changed. • 4907: Auditing settings on object were changed. • 4908: Special Groups Logon table modified. • 4912: Per User Audit Policy was changed. The recommended state for this setting is to include: Success.,to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Audit File Share Access,This policy setting allows you to audit attempts to access a shared folder. The recommended state for this setting is: Success and Failure,Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Audit Other Logon Logoff Events,"This subcategory reports other logon/logoff-related events, such as Remote Desktop Services session disconnects and reconnects, using RunAs to run processes under a different account, and locking and unlocking a workstation. Events for this subcategory include: • 4649: A replay attack was detected. • 4778: A session was reconnected to a Window Station. • 4779: A session was disconnected from a Window Station. • 4800: The workstation was locked. • 4801: The workstation was unlocked. • 4802: The screen saver was invoked. • 4803: The screen saver was dismissed. • 5378: The requested credentials delegation was disallowed by policy. • 5632: A request was made to authenticate to a wireless network. • 5633: A request was made to authenticate to a wired network. The recommended state for this setting is: Success and Failure.",Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Audit Security Group Management,"This subcategory reports each event of security group management, such as when a security group is created, changed, or deleted or when a member is added to or removed from a security group. If you enable this Audit policy setting, administrators can track events to detect malicious, accidental, and authorized creation of security group accounts. The recommended state for this setting is to include: Success",to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Audit Security System Extension,This subcategory reports the loading of extension code such as authentication packages by the security subsystem. Events for this subcategory include: • 4610: An authentication package has been loaded by the Local Security Authority. • 4611: A trusted logon process has been registered with the Local Security Authority. • 4614: A notification package has been loaded by the Security Account Manager. • 4622: A security package has been loaded by the Local Security Authority. • 4697: A service was installed in the system. The recommended state for this setting is to include: Success,to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Audit Special Logon,This subcategory reports when a special logon is used. A special logon is a logon that has administrator-equivalent privileges and can be used to elevate a process to a higher level. Events for this subcategory include: • 4964: Special groups have been assigned to a new logon. The recommended state for this setting is to include: Success.,to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Audit User Account Management,"This subcategory reports each event of user account management, such as when a user account is created, changed, or deleted; a user account is renamed, disabled, or enabled; or a password is set or changed. If you enable this Audit policy setting, administrators can track events to detect malicious, accidental, and authorized creation of user accounts. The recommended state for this setting is: Success and Failure.",Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Backup Directory,This policy setting configures which directory Windows LAPS will use to back up the local admin account password. The recommended state for this setting is: Backup the password to Azure AD only.,Backup the password to Azure AD only,Simple,"Backup rights should be scoped to the backup service account only. If a third-party backup agent is in use, verify it runs under a dedicated least-privilege account rather than a broad group."
CISv4 - WIN - L1 - Backup Files And Directories,"This policy setting allows users to circumvent file and directory permissions to back up the system. This user right is enabled only when an application (such as NTBACKUP) attempts to access a file or directory through the NTFS file system backup application programming interface (API). Otherwise, the assigned file and directory permissions apply. The recommended state for this setting is: *S-1-5-32-544 (Administrators).",*S-1-5-32-544 (Administrators),Simple,"Backup rights should be scoped to the backup service account only. If a third-party backup agent is in use, verify it runs under a dedicated least-privilege account rather than a broad group."
CISv4 - WIN - L1 - Block Non Admin User Install,This setting manages non-Administrator users' ability to install Windows app packages. The recommended state for this setting is: Allow,Allow,Simple,"Preventing non-admin software installs is a key control for SMBs where users may inadvertently install malware. Only deviate for power users with a documented need and compensating controls (e.g., application allowlisting)."
CISv4 - WIN - L1 - Block Office applications from creating  executable content,"This rule prevents scripts from launching potentially malicious downloaded content. Malware written in JavaScript or VBScript often acts as a downloader to fetch and launch other malware from the Internet. Although not common, line-of-business applications sometimes use scripts to download and launch installers. The recommended state for this setting is: Block.",Block,Simple,"Many SMB users rely on Office macros for internal automation (invoicing, scheduling). Blocking may break critical workflows. Audit first; work with client to migrate to safer alternatives."
CISv4 - WIN - L1 - Block all consumer Microsoft account user  authentication,This setting determines whether applications and services on the device can utilize new consumer Microsoft account authentication via the Windows OnlineID and WebAccountManager APIs. The recommended state for this setting is: Enabled.,Enabled,Simple,Blocking consumer Microsoft account authentication prevents users from signing into business apps with personal accounts. Essential for data governance in SMBs using Microsoft 365. No valid business reason to skip.
CISv4 - WIN - L1 - Block launching Universal Windows apps  with Windows Runtime API access from hosted content,This policy setting controls whether Microsoft Store apps with Windows Runtime API access directly from web content can be launched. The recommended state for this setting is: Enabled.,Enabled,Simple,Blocking UWP apps from hosted content prevents web-based exploits from launching store apps. Low operational impact for most SMBs; only skip if a specific UWP-based LOB app depends on this behaviour.
CISv4 - WIN - L1 - Block user from showing account details  on sign-in,This policy prevents the user from showing account details (email address or user name) on the sign-in screen. The recommended state for this setting is: Enabled,Enabled,Simple,Hiding account details on the sign-in screen prevents username enumeration. No impact on user experience after sign-in; deviation is not recommended.
CISv4 - WIN - L1 - Boot-Start Driver Initialization Policy,"This policy setting allows you to specify which boot-start drivers are initialized based on a classification determined by an Early Launch Antimalware boot-start driver. If you enable this policy setting you will be able to choose which boot-start drivers to initialize the next time the computer is started. If your malware detection application does not include an Early Launch Antimalware boot-start driver or if your Early Launch Antimalware boot-start driver has been disabled, this setting has no effect and all boot-start drivers are initialized. The recommended state for this setting is: Enabled: Good, unknown and bad but critical.","Enabled: Good, unknown and bad but critical",Complex,'boot-start driver initialization policy' is a complex policy with potential dependencies on other services or tools. Engage with the client to map dependencies before enforcing. Use Audit/report-only mode where available; validate then enforce.
CISv4 - WIN - L1 - Change System Time,"This policy setting determines which users and groups can change the time and date on the internal clock of the computers in your environment. Users who are assigned this user right can affect the appearance of event logs. When a computer's time setting ischanged, logged events reflect the new time, not the actual time that the events occurred. The recommended state for this setting is: *S-1-5-32-544 and *S-1-5-19",*S-1-5-32-544 and *S-1-5-19,Simple,"Time sync should be managed centrally (e.g., domain or Intune NTP policy). Restricting manual time changes to LOCAL SERVICE and Administrators is correct for managed SMB endpoints."
CISv4 - WIN - L1 - Config refresh,This policy setting determines whether or not MDM policies are refreshed on the system. The recommended state for this setting is: Enabled.,Enabled,Complex,'config refresh' is a complex policy with potential dependencies on other services or tools. Engage with the client to map dependencies before enforcing. Use Audit/report-only mode where available; validate then enforce.
CISv4 - WIN - L1 - Configure Lsa Protected Process is set to  'Enabled with UEFI Lock...,"This policy setting controls whether the Local Security Authority Subservice Service (LSASS) runs in protected mode and also has the option to lock in protected mode with Unified Extensible Firmware Interface (UEFI). The Local Security Authority (LSA), which includes the LSASS process, validates users for local and remote sign-ins and enforces local security policies. The recommended state for this setting is: Enabled with UEFI lock. LSA will run as protected process and this configuration is UEFI locked",Enabled with UEFI lock,Complex,LSA protection with UEFI lock is the gold standard but can block some AV/EDR drivers on older endpoints. Test in a non-production group first; some agents may need updating before enforcement.
CISv4 - WIN - L1 - Configure Offer Remote Assistance,"This policy setting allows you to turn on or turn off Offer (Unsolicited) Remote Assistance on this computer. Help desk and support personnel will not be able to proactively offer assistance, although they can still respond to user assistance requests. The recommended state for this setting is: Disabled.",Disabled,Moderate,Remote Assistance is rarely used in MSP-managed SMB environments where RMM tools are in place. Disabling is low-risk; only retain if end-users actively use RA for peer-to-peer help sessions.
CISv4 - WIN - L1 - Configure RPC connection settings: Protocol to  use for outgoing RPC connections,,Enabled / On (inferred from payload),Complex,RPC hardening settings are generally safe but can break some older printer or file share workflows. Test on a pilot group before broad deployment.
CISv4 - WIN - L1 - 'Configure RPC connection settings: Use  authentication for outgoing RPC connections,This policy setting controls which protocol and protocol settings to use for outgoing Remote Procedure Call (RPC) connections to a remote print spooler. The recommended state for this setting is: Enabled: Default,Enabled: Default,Complex,RPC hardening settings are generally safe but can break some older printer or file share workflows. Test on a pilot group before broad deployment.
CISv4 - WIN - L1 - Configure RPC listener settings: Authentication  protocol to use for incoming RPC connections,This policy setting controls which protocols incoming Remote Procedure Call (RPC) connections to the print spooler are allowed to use. The recommended state for this setting is: Enabled: Negotiate or higher.,Enabled: Negotiate or higher,Complex,RPC hardening settings are generally safe but can break some older printer or file share workflows. Test on a pilot group before broad deployment.
CISv4 - WIN - L1 - 'Configure RPC listener settings: Protocols to  allow for incoming RPC connections,This policy setting controls which protocols incoming Remote Procedure Call (RPC) connections to the print spooler are allowed to use. The recommended state for this setting is: Enabled: RPC over TCP.,Enabled: RPC over TCP,Complex,RPC hardening settings are generally safe but can break some older printer or file share workflows. Test on a pilot group before broad deployment.
CISv4 - WIN - L1 - Configure RPC over TCP port: RPC over TCP  port,This policy setting controls which port is used for RPC over TCP for incoming connections to the print spooler and outgoing connections to remote print spoolers. The recommended state for this setting is: Enabled: 0.,Enabled: 0,Complex,RPC hardening settings are generally safe but can break some older printer or file share workflows. Test on a pilot group before broad deployment.
CISv4 - WIN - L1 - Configure Redirection Guard: Redirection  Guard Options,This policy setting determines whether Redirection Guard is enabled for the print spooler. Redirection Guard can prevent file redirections from being used within the print spooler. The recommended state for this setting is: Enabled: Redirection Guard Enabled.,Enabled: Redirection Guard Enabled,Complex,'configure redirection guard: redirection  guard options' is a complex policy with potential dependencies on other services or tools. Engage with the client to map dependencies before enforcing. Use Audit/report-only mode where available; validate then enforce.
CISv4 - WIN - L1 - Configure SMB v1 client driver,"This setting configures the start type for the Server Message Block version 1 (SMBv1) client driver service (MRxSmb10), which is recommended to be disabled. The recommended state for this setting is: Enabled: Disable driver (recommended).",Enabled: Disable driver (recommended),Complex,"Disabling SMBv1 is strongly recommended — it is exploited by ransomware (WannaCry, NotPetya). Only deviate if a legacy NAS/device requires it; replace the device instead."
CISv4 - WIN - L1 - Configure SMB v1 server,This setting configures the server-side processing of the Server Message Block version 1 (SMBv1) protocol. The recommended state for this setting is: Disabled.,Disabled,Complex,"Disabling SMBv1 is strongly recommended — it is exploited by ransomware (WannaCry, NotPetya). Only deviate if a legacy NAS/device requires it; replace the device instead."
CISv4 - WIN - L1 - Configure Solicited Remote Assistance,This policy setting allows you to turn on or turn off Solicited (Ask for) Remote Assistance on this computer. The recommended state for this setting is: Disabled.,Disabled,Moderate,Remote Assistance is rarely used in MSP-managed SMB environments where RMM tools are in place. Disabling is low-risk; only retain if end-users actively use RA for peer-to-peer help sessions.
CISv4 - WIN - L1 - Configure System Guard Launch,Secure Launch protects the Virtualization Based Security environment from exploited vulnerabilities in device firmware. The recommended state for this setting is: Unmanaged Enables Secure Launch if supported by hardware.,Unmanaged Enables Secure Launch if supported by hardware,Complex,'configure system guard launch' is a complex policy with potential dependencies on other services or tools. Engage with the client to map dependencies before enforcing. Use Audit/report-only mode where available; validate then enforce.
CISv4 - WIN - L1 - Configure Windows Defender  SmartScreen,This policy setting allows you to manage the behavior of Windows Defender SmartScreen. Windows Defender SmartScreen helps keep PCs safer by warning users before running unrecognized programs downloaded from the Internet. Some information is sent to Microsoft about files and programs run on PCs with this feature enabled. The recommended state for this setting is: Enabled: Warn and prevent bypass.,Enabled: Warn and prevent bypass,Moderate,"Defender settings should match the recommended state in most SMB environments. Only deviate if a third-party AV (e.g., Sophos, CrowdStrike) replaces Defender — confirm AV is active and managed."
CISv4 - WIN - L1 - Configure local setting override for  reporting to Microsoft MAPS,"This policy setting configures a local override for the configuration to join Microsoft Active Protection Service (MAPS), which Microsoft renamed to Windows Defender Antivirus Cloud Protection Service and then Microsoft Defender Antivirus Cloud Protection Service. The recommended state for this setting is: Disabled.",Disabled,Simple,"Defender settings should match the recommended state in most SMB environments. Only deviate if a third-party AV (e.g., Sophos, CrowdStrike) replaces Defender — confirm AV is active and managed."
CISv4 - WIN - L1 - Continue experiences on this device,This policy setting determines whether the Windows device is allowed to participate in cross-device experiences (continue experiences). The recommended state for this setting is: Disabled,Disabled,Simple,Cross-device continuity features (phone-to-PC handoff) are a consumer feature rarely needed in SMB. Disabling reduces data exposure with no business productivity loss.
