Name,Description,Recommended Setting,Complexity,SMB Justification (if not using recommended)
CISv4 - WIN - BL - Choose how BitLocker-protected fixed  drives can be recovered  Recovery Password,"This policy setting allows you to control how BitLocker-protected fixed data drives are recovered in the absence of the required credentials. This policy setting is applied when you turn on BitLocker. In ""Configure user storage of BitLocker recovery information"" select whether users are allowed, required, or not allowed to generate a 48-digit recovery password or a 256-bit recovery key. The recommended state for this setting is: Enabled: Allow 48-digit recovery password.",Enabled: Allow 48-digit recovery password,Complex,48-digit recovery passwords for fixed drives provide a fallback alongside Azure AD escrow. Requiring password generation ensures recoverability; disable user-printable display and rely on IT portal retrieval.
CISv4 - WIN - BL - Choose how BitLocker-protected fixed  drives can be recovered: Recovery Key,"This policy setting allows you to control how BitLocker-protected fixed data drives are recovered in the absence of the required credentials. This policy setting is applied when you turn on BitLocker. In ""Configure user storage of BitLocker recovery information"" select whether users are allowed, required, or not allowed to generate a 48-digit recovery password or a 256-bit recovery key. The recommended state for this setting is: Enabled: Allow 256-bit recovery key.",Enabled: Allow 256-bit recovery key,Complex,Recovery key display/print options for fixed drives should be restricted. Keys escrowed to Azure AD via Intune are the preferred recovery path for SMBs. Disable user-visible key generation unless IT cannot access Azure AD portal.
CISv4 - WIN - BL - Choose how BitLocker-protected fixed  drives can be recovered,This policy setting allows you to control how BitLocker-protected fixed data drives are recovered in the absence of the required credentials. This policy setting is applied when you turn on BitLocker. The recommended state for this setting is: Enabled,Enabled,Moderate,Fixed drive recovery configuration is critical for data-at-rest recovery workflows. Ensure Azure AD escrow is confirmed working before locking down recovery options. Pilot on a subset of devices first.
CISv4 - WIN - BL - Deny write access to removable drives  not protected by BitLocker,"This policy setting configures whether BitLocker protection is required for a computer to be able to write data to a removable data drive. All removable data drives that are not BitLocker-protected will be mounted as read-only. If the drive is protected by BitLocker, it will be mounted with read and write access. The recommended state for this setting is: Enabled.",Enabled,Moderate,Blocking writes to unprotected removable drives prevents data exfiltration via USB. This is a strong data-loss-prevention control with potential operational impact: users cannot write to unencrypted USB drives. Communicate this policy to users and provide BitLocker-encrypted USB drives for approved use cases.
CISv4 - WIN - BL - Device Enumeration Policy' is set to 'Block all  (most restrictive),This policy is intended to provide additional security against external DMA-capable devices. It allows for more control over the enumeration of external DMA-capable devices that are not compatible with DMA Remapping/device memory isolation and sandboxing. The recommended state for this setting is: Block all (most restrictive).,Block all (most restrictive),Moderate,"Blocking all external DMA-capable devices (PCIe, Thunderbolt) prevents DMA-based hardware attacks. This is the most restrictive setting and may block docking stations and some peripherals. Test with all approved hardware before enforcing; document approved device exceptions."
CISv4 - WIN - BL - 'Enforce drive encryption type on  operating system drives: Select the encryption type: (device),This policy setting configures the encryption type (space only and whole) used by BitLocker Drive Encryption. The recommended state for this setting is: Enabled: Used Space Only encryption or Enabled: Full encryption.,Enabled: Used Space Only encryption or Enabled: Full encryption,Moderate,"Full disk encryption (vs. used-space-only) provides stronger protection against offline forensic tools. Full encryption takes longer on initial setup. For new Autopilot deployments, used-space-only is acceptable since drives are fresh. For re-provisioned devices, prefer full disk encryption to ensure deleted data is not recoverable."
CISv4 - WIN - BL - Prevent installation of devices using  drivers that match these device setup classes,"This policy setting allows you to specify a list of device setup class globally unique identifiers (GUIDs) for device drivers that Windows is prevented from installing. This policy setting takes precedence over any other policy setting that allows Windows to install a device. If you enable this policy setting, Windows is prevented from installing or updating device drivers whose device setup class GUIDs appear in the list you create. If you enable this policy setting on a remote desktop server, the policy setting affects redirection of the specified devices from a remote desktop client to the remote desktop server.If you disable or do not configure this policy setting, Windows can install and update devices as allowed or prevented by other policy settings. The recommended state for this setting is: Enabled.",Enabled,Complex,"Blocking device installation by setup class prevents unauthorised hardware (e.g., rogue USB storage) from being installed by standard users. Ensure all approved device classes are excluded via the allow-list before enforcing; work with the client to identify any business-critical device classes that must be permitted."
CISv4 - WIN - BL - Require Device Encryption,This setting allows the Admin to require encryption to be turned on using BitLocker\Device Encryption. Disabling the policy won't turn off the encryption on the system drive. But will stop prompting the user to turn it on. The recommended state for this setting is: Enabled.,Enabled,Moderate,"BitLocker Device Encryption is a foundational control for data-at-rest protection. Enable on all managed endpoints. The only valid deviation is for devices with hardware incompatibilities (e.g., no TPM chip); document and treat as exception with compensating controls."
CISv4 - WIN - BL - Require additional authentication at  startup: Configure TPM startup PIN,This policy setting allows you to configure whether BitLocker requires additional authentication each time the computer starts. This policy setting is applied when you turn on BitLocker. The recommended state for this setting is: Enabled: Require startup PIN with TPM.,Enabled: Require startup PIN with TPM,Complex,'require additional authentication at  startup: configure tpm startup pin' is a complex policy with potential dependencies on other services or tools. Engage with the client to map dependencies before enforcing. Use Audit/report-only mode where available; validate then enforce.
CISv4 - WIN - BL - Require additional authentication at  startup: Configure TPM startup key and PIN,This policy setting allows you to configure whether BitLocker requires additional authentication each time the computer starts. This policy setting is applied when you turn on BitLocker. The recommended state for this setting is: Enabled: Do not allow startup key and PIN with TPM.,Enabled: Do not allow startup key and PIN with TPM,Complex,'require additional authentication at  startup: configure tpm startup key and pin' is a complex policy with potential dependencies on other services or tools. Engage with the client to map dependencies before enforcing. Use Audit/report-only mode where available; validate then enforce.
CISv4 - WIN - BL - Require additional authentication at  startup: Configure TPM startup key,This policy setting allows you to configure whether BitLocker requires additional authentication each time the computer starts. This policy setting is applied when you turn on BitLocker. The recommended state for this setting is: Enabled: Do not allow startup key with TPM,Enabled: Do not allow startup key with TPM,Complex,'require additional authentication at  startup: configure tpm startup key' is a complex policy with potential dependencies on other services or tools. Engage with the client to map dependencies before enforcing. Use Audit/report-only mode where available; validate then enforce.
CISv4 - WIN - BL - Require additional authentication at  startup: Configure TPM startup,This policy setting allows you to configure whether BitLocker requires additional authentication each time the computer starts. This policy setting is applied when you turn on BitLocker. The recommended state for this setting is: Enabled: Do not allow TPM.,Enabled: Do not allow TPM,Complex,'require additional authentication at  startup: configure tpm startup' is a complex policy with potential dependencies on other services or tools. Engage with the client to map dependencies before enforcing. Use Audit/report-only mode where available; validate then enforce.
CISv4 - WIN - BL - Require additional authentication at  startup,This policy setting allows you to configure whether BitLocker requires additional authentication each time the computer starts and whether you are using BitLocker with or without a Trusted Platform Module (TPM). This policy setting is applied when you turn on BitLocker. The recommended state for this setting is: Enabled.,Enabled,Simple,"'require additional authentication at  startup' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
